ID,Case Number,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude
10145496,HY334421,1/1/2009 0:00,022XX N KENNETH AVE,1752,OFFENSE INVOLVING CHILDREN,FALSE,TRUE,2522,25,31,20,20,,,2009,8/17/2015 15:03,,
11034824,JA368148,7/29/2017 8:49,066XX S WABASH AVE,486,BATTERY,FALSE,TRUE,322,3,20,69,08B,1177754,1860850,2017,8/5/2017 15:50,41.77349397,-87.62394371
10639943,HZ391801,11/24/2015 0:00,027XX W 61ST ST,266,CRIM SEXUAL ASSAULT,FALSE,TRUE,825,8,15,66,2,,,2015,8/15/2016 15:50,,
10409814,HZ118195,1/16/2016 18:25,052XX S PAULINA ST,820,THEFT,TRUE,FALSE,932,9,16,61,6,,,2016,5/9/2017 15:51,,
11034831,JA368102,7/29/2017 0:01,057XX S WENTWORTH AVE,1320,CRIMINAL DAMAGE,FALSE,FALSE,232,2,3,68,14,1175946,1866969,2017,8/5/2017 15:50,41.79032589,-87.63038802
10639973,HZ389432,8/20/2014 12:00,008XX N MENARD AVE,1564,SEX OFFENSE,FALSE,FALSE,1511,15,29,25,17,,,2014,8/15/2016 15:50,,
10640023,HZ391945,7/18/2016 8:00,023XX E 70TH ST,1120,DECEPTIVE PRACTICE,FALSE,FALSE,331,3,5,43,10,,,2016,8/15/2016 15:50,,
10640113,HZ392047,7/29/2016 19:00,003XX E JACKSON DR,870,THEFT,FALSE,FALSE,114,1,42,32,6,,,2016,8/15/2016 15:50,,
10640947,HZ392724,7/15/2015 12:00,046XX N BEACON ST,820,THEFT,FALSE,FALSE,1913,19,46,3,6,,,2015,8/15/2016 15:50,,
10640953,HZ392708,3/26/2016 21:30,105XX S INDIANA AVE,820,THEFT,FALSE,FALSE,512,5,9,49,6,,,2016,8/15/2016 15:50,,
10641547,HZ393088,6/1/2015 0:00,026XX E 73RD ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,334,3,7,43,11,,,2015,8/16/2016 15:49,,
10640432,HZ361986,7/24/2016 7:44,012XX E 46TH ST,460,BATTERY,FALSE,FALSE,222,2,4,39,08B,,,2016,8/15/2016 15:50,,
11034835,JA368145,7/29/2017 1:00,054XX S ELLIS AVE,497,BATTERY,FALSE,FALSE,233,2,5,41,04B,1183866,1869676,2017,8/5/2017 15:50,41.79757275,-87.60126326
10641567,HZ393267,8/18/2015 0:00,001XX E 18TH ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,132,1,2,33,11,,,2015,8/16/2016 15:49,,
10641574,HZ393235,8/15/2014 9:00,011XX E 42ND PL,1153,DECEPTIVE PRACTICE,FALSE,FALSE,214,2,4,36,11,,,2014,8/16/2016 15:49,,
10809429,JA108556,1/8/2017 16:30,003XX W WOLF POINT PLZ,486,BATTERY,FALSE,TRUE,1831,18,42,8,08B,,,2017,1/15/2017 15:52,,
10422764,HZ149684,2/12/2016 16:57,007XX S KEELER AVE,2027,NARCOTICS,TRUE,FALSE,1132,11,24,26,18,,,2016,8/20/2016 15:54,,
10632689,HZ384822,8/9/2016 1:30,078XX S DREXEL AVE,1154,DECEPTIVE PRACTICE,FALSE,FALSE,624,6,8,69,11,,,2016,8/16/2016 15:49,,
10641197,HZ392889,7/19/2015 10:00,008XX S MILLER ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1232,12,25,28,11,,,2015,8/16/2016 15:49,,
10641321,HZ392947,6/30/2016 7:00,023XX E 70TH PL,2825,OTHER OFFENSE,FALSE,FALSE,331,3,5,43,26,,,2016,8/16/2016 15:49,,
10641451,HZ392998,6/27/2016 12:00,013XX S HALSTED ST,1150,DECEPTIVE PRACTICE,FALSE,FALSE,1232,12,25,28,11,,,2016,8/16/2016 15:49,,
10640990,HZ392714,4/21/2016 8:00,105XX S INDIANA AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,512,5,9,49,11,,,2016,8/16/2016 15:49,,
11034836,JA368100,7/29/2017 7:55,076XX S LANGLEY AVE,1365,CRIMINAL TRESPASS,FALSE,FALSE,624,6,6,69,26,1182216,1854593,2017,8/5/2017 15:50,41.75622198,-87.60778065
10809768,JA108671,1/8/2017 20:10,0000X W RWY 27R,470,PUBLIC PEACE VIOLATION,FALSE,FALSE,1654,16,41,76,24,,,2017,1/15/2017 15:52,,
10642921,HZ394320,4/8/2016 10:59,032XX N HARLEM AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,1631,16,36,17,11,,,2016,8/17/2016 15:58,,
10810316,JA108700,1/8/2017 19:00,045XX N MAGNOLIA AVE,460,BATTERY,FALSE,FALSE,1913,19,46,3,08B,,,2017,1/15/2017 15:52,,
10810320,JA108690,1/8/2017 20:48,022XX N MILWAUKEE AVE,560,ASSAULT,FALSE,FALSE,1431,14,1,22,08A,,,2017,1/15/2017 15:52,,
10810334,JA109317,1/8/2017 0:00,006XX W GRACE ST,1310,CRIMINAL DAMAGE,FALSE,FALSE,1925,19,46,6,14,,,2017,1/15/2017 15:52,,
10810353,JA109678,1/8/2017 3:10,002XX W ONTARIO ST,890,THEFT,FALSE,FALSE,1831,18,42,8,6,,,2017,1/15/2017 15:52,,
10810632,JA107922,1/8/2017 1:47,029XX N SHEFFIELD AVE,460,BATTERY,FALSE,FALSE,1933,19,44,6,08B,,,2017,1/15/2017 15:52,,
10810660,JA109702,1/8/2017 6:00,018XX N CLEVELAND AVE,1360,CRIMINAL TRESPASS,FALSE,FALSE,1813,18,43,7,26,,,2017,1/15/2017 15:52,,
10810680,JA108064,1/8/2017 7:30,045XX S FORRESTVILLE AVE,486,BATTERY,FALSE,TRUE,221,2,3,38,08B,,,2017,1/15/2017 15:52,,
10810841,JA108137,1/8/2017 9:50,052XX S DREXEL AVE,560,ASSAULT,FALSE,FALSE,233,2,5,41,08A,,,2017,1/15/2017 15:52,,
11034837,JA368056,7/29/2017 6:30,004XX E 48TH ST,1320,CRIMINAL DAMAGE,FALSE,FALSE,223,2,3,38,14,1179927,1873289,2017,8/5/2017 15:50,41.80757829,-87.61559737
11034839,JA368279,7/29/2017 1:00,030XX S LOWE AVE,820,THEFT,FALSE,FALSE,914,9,11,60,6,1172450,1884839,2017,8/5/2017 15:50,41.83944064,-87.64268024
10643258,HZ394512,6/18/2016 0:00,095XX S STATE ST,2825,OTHER OFFENSE,FALSE,TRUE,511,5,21,49,26,,,2016,8/17/2016 15:58,,
10642764,HZ394129,5/30/2015 9:00,099XX S CARPENTER ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,2232,22,34,73,11,,,2015,8/17/2016 15:58,,
10643303,HZ394408,4/1/2016 14:00,073XX S VINCENNES AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,731,7,6,69,11,,,2016,8/17/2016 15:58,,
10645204,HZ395631,5/31/2016 9:00,055XX W AUGUSTA BLVD,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1524,15,37,25,11,,,2016,8/18/2016 15:53,,
10645205,HZ395661,7/20/2016 11:00,017XX W LE MOYNE ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1433,14,1,24,11,,,2016,8/18/2016 15:53,,
10645255,HZ396273,6/12/2016 22:00,048XX W BELDEN AVE,890,THEFT,FALSE,FALSE,2522,25,31,19,6,,,2016,8/18/2016 15:53,,
10645257,HZ396413,2/28/2016 13:00,014XX W TAYLOR ST,5002,OTHER OFFENSE,FALSE,TRUE,1231,12,2,28,26,,,2016,8/18/2016 15:53,,
10645420,HZ394704,1/2/2016 9:00,025XX E 91ST ST,810,THEFT,FALSE,FALSE,423,4,7,48,6,,,2016,8/18/2016 15:53,,
10643557,HZ388305,8/11/2016 21:30,008XX E 38TH PL,810,THEFT,FALSE,FALSE,212,2,4,36,6,,,2016,8/18/2016 15:53,,
10648142,HZ398756,3/1/2016 7:00,020XX W DIVISION ST,1120,DECEPTIVE PRACTICE,FALSE,FALSE,1424,14,1,24,10,,,2016,8/20/2016 15:54,,
10648221,HZ398900,4/9/2016 11:00,075XX S ELLIS AVE,1195,DECEPTIVE PRACTICE,FALSE,FALSE,624,6,8,69,11,,,2016,8/20/2016 15:54,,
10642033,HZ391087,8/13/2016 23:45,036XX W 16TH ST,1320,CRIMINAL DAMAGE,FALSE,FALSE,1014,10,24,29,14,,,2016,8/20/2016 15:54,,
10648097,HZ398698,7/13/2016 23:00,011XX N DEARBORN ST,820,THEFT,FALSE,FALSE,1824,18,42,8,6,,,2016,8/20/2016 15:54,,
10651144,HZ401359,7/13/2016 0:00,003XX N JEFFERSON ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1214,12,42,28,11,,,2016,8/22/2016 15:51,,
10650155,HZ400032,6/20/2016 13:15,049XX W THOMAS ST,1220,DECEPTIVE PRACTICE,FALSE,FALSE,1531,15,37,25,11,,,2016,8/21/2016 15:53,,
10651415,HZ391984,8/7/2016 12:00,024XX E 74TH ST,620,BURGLARY,FALSE,FALSE,334,3,7,43,5,,,2016,8/22/2016 15:51,,
10650851,HZ399215,7/16/2016 8:00,054XX S CORNELL AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,234,2,5,41,11,,,2016,8/21/2016 15:53,,
10814587,JA108175,1/8/2017 10:54,013XX S WABASH AVE,486,BATTERY,FALSE,FALSE,131,1,2,33,08B,,,2017,1/15/2017 15:52,,
10815763,JA108006,1/8/2017 4:30,050XX S CALIFORNIA AVE,486,BATTERY,FALSE,TRUE,923,9,14,63,08B,,,2017,1/15/2017 15:52,,
10815934,JA115731,9/1/2016 0:01,005XX W BRIAR PL,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1934,19,44,6,11,,,2016,1/15/2017 15:52,,
10815937,JA114376,12/16/2016 17:00,014XX W GARFIELD BLVD,610,BURGLARY,FALSE,FALSE,934,9,16,61,5,,,2016,1/15/2017 15:52,,
10815965,JA115709,11/9/2016 9:00,116XX S ABERDEEN ST,1154,DECEPTIVE PRACTICE,FALSE,FALSE,524,5,34,53,11,,,2016,1/15/2017 15:52,,
10815978,JA115803,2/18/2014 0:01,055XX N GLENWOOD AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,2013,20,48,77,11,,,2014,1/15/2017 15:52,,
10815980,JA115771,12/12/2015 0:01,047XX S INGLESIDE AVE,4650,OTHER OFFENSE,FALSE,FALSE,222,2,4,39,26,,,2015,1/15/2017 15:52,,
10815987,JA115687,10/30/2016 4:00,088XX S DORCHESTER AVE,810,THEFT,FALSE,FALSE,412,4,8,48,6,,,2016,1/15/2017 15:52,,
10815988,JA115792,10/26/2016 10:00,044XX W LAWRENCE AVE,1150,DECEPTIVE PRACTICE,FALSE,FALSE,1722,17,45,16,11,,,2016,1/15/2017 15:52,,
10815991,JA109026,12/26/2016 9:00,012XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,132,1,2,33,11,,,2016,1/15/2017 15:52,,
10641786,HZ392825,8/14/2016 22:00,021XX W ADDISON ST,890,THEFT,FALSE,FALSE,1921,19,47,5,6,,,2016,8/21/2016 15:53,,
10425646,HZ155322,2/17/2016 21:16,001XX S FRANCISCO AVE,2027,NARCOTICS,TRUE,FALSE,1124,11,2,27,18,,,2016,8/23/2016 15:49,,
10655573,HZ405438,10/1/2014 9:00,036XX N LAMON AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1634,16,38,15,11,,,2014,8/25/2016 15:50,,
10655574,HZ405405,7/28/2016 12:00,030XX N OCTAVIA AVE,1110,DECEPTIVE PRACTICE,FALSE,FALSE,2511,25,36,17,11,,,2016,8/25/2016 15:50,,
10654010,HZ404116,6/30/2016 0:00,009XX N WALLER AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,1511,15,29,25,11,,,2016,8/24/2016 15:50,,
10655586,HZ405582,7/1/2016 14:44,013XX W MARQUETTE RD,820,THEFT,FALSE,FALSE,724,7,17,67,6,,,2016,8/25/2016 15:50,,
